466,themovechannel.com,dj@themovechannel.com|info@themovechannel.com|dan.johnson@leadgalaxy.com,2012-05-22 23:03:14,2013-01-10 02:44:55,2013-01-10 02:44:55
786,biggerpockets.com,josh@biggerpockets.com|brandon@biggerpockets.com,2012-04-08 22:59:41,2013-06-25 13:24:48,2013-06-25 13:24:48
1466,healthycase.com,,0,0,0
2629,momsmiami.com,editor@momsmiami.com|cpacenti@miamiherald.com,2013-02-04 11:14:33,2013-02-04 20:51:34,2013-02-04 20:51:34
3004,tracyandmatt.co.uk,matt@tracyandmatt.co.uk|leo_dee21@hotmail.com,2013-01-04 04:27:13,2013-06-24 08:39:38,2013-06-24 08:39:38
3087,lillieammann.com,lillie@lillieammann.com,2013-04-09 05:53:22,2013-04-11 11:54:26,2013-04-11 11:54:26
3279,1clickmoney.com,,0,0,0
3442,prairieecothrifter.com,prairieecothrifter@gmail.com,2012-07-15 21:36:32,2013-05-13 19:02:11,2013-05-13 19:02:11
3461,brokeprofessionals.com,brokeprofessionals@gmail.com|jspector@steelcast.com,2012-07-16 02:13:40,2012-07-16 09:07:03,2012-07-16 09:07:03
3469,lifehack.org,admin@lifehack.org|brian@lifehack.org|tips@lifehack.org,2013-05-07 12:32:29,2012-03-21 11:04:58,2012-03-21 11:04:58
3499,sustainablepersonalfinance.com,sustainablepersonalfinance@gmail.com,2013-01-21 23:38:56,2013-01-22 11:58:23,2013-01-22 11:58:23
3533,personalfinancejourney.com,lakita@personalfinancejourney.com,2013-04-26 11:36:48,0,0
3537,financiallypoor.com,kevin@financiallypoor.com,2013-05-23 11:23:08,2013-05-23 14:48:02,2013-05-23 14:48:02
3936,20smoney.com,matt@steadfastfinances.com|support@20smoney.com,2012-04-08 23:36:03,0,0
3970,morethanfinances.com,,0,0,0
3996,rather-be-shopping.com,ratherbeshopping@sbcglobal.net|kjones@steelcast.com,2013-02-15 11:42:52,2013-02-15 11:51:36,2013-02-15 11:51:36
4000,studenomics.com,,0,0,0
4007,compoundingreturns.com,,0,0,0
4098,financiallydigital.com,,0,0,0
4117,financialmoneytips.com,moneyperk@financialmoneytips.com|dadams@steelcast.com,2013-01-20 22:03:19,2013-02-06 05:33:42,2013-02-06 05:33:42
4139,bloggingbasics101.com,melanie@bloggingbasics101.com,2013-05-23 11:40:08,2013-06-10 10:06:44,2013-06-10 10:06:44
4143,lifehacker.com,domains@gawker.com|whitson@lifehacker.com|tessa@lifehacker.com|submissions@lifehacker.com,2012-04-08 23:41:40,2013-02-19 15:07:01,2013-02-19 15:07:01
4173,tightwadblog.com,tightwadblog@gmail.com|smudgecommunications@gmail.com,2013-01-14 03:55:14,2013-01-14 20:29:31,2013-01-14 20:29:31
4195,successful-blog.com,Lizsun2@gmail.com|lizsun2@gmail.com|rosemary.oneill@gmail.com,2012-06-28 20:48:05,2013-01-07 08:27:57,2013-01-07 08:27:57
4573,usgreentechnology.com,corporate_communications@usgreentechnology.com|jwc1978@aol.com|john.courtney@usgreentechnology.com,2013-04-22 17:34:17,2013-04-23 00:38:07,2013-04-23 00:38:07
4669,designrfix.com,write@designrfix.com|contact@designrfix.com|admin@designrfix.com,2013-05-24 15:39:17,2013-05-25 11:57:07,2013-05-25 11:57:07
4921,blogher.com,elisa@blogher.com,2013-05-23 11:43:22,0,0
5865,ladiesgadgets.com,office@ladiesgadgets.com.|office@ladiesgadgets.com,2012-06-21 01:25:13,2013-02-04 20:26:51,2013-02-04 20:26:51
5875,financenewspro.com,admin@financenewspro.com,2013-04-11 11:44:29,2012-03-08 09:01:30,2012-03-08 09:01:30
5914,beontheroad.com,sankaracs@beontheroad.com,2013-05-20 16:24:28,2013-05-21 01:42:05,2013-05-21 01:42:05
6441,bullz-eye.com,seniorstaff@bullz-eye.com|bullzeyestaff@gmail.com|gorlando@bullz-eye.com,2013-05-08 10:43:58,2012-03-09 10:49:31,2012-03-09 10:49:31
6707,itravelnet.com,editor@itravelnet.com,2012-08-13 10:35:37,2012-12-06 23:26:02,2012-12-06 23:26:02
